"","seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"142","NC_000077.7",90260180,90260755,576,"*","CBD2vsMODEL2_cond1_142",4.77924,"Intron (NM_001403991.1/Hlf, intron 1 of 2)",11,90227361,90279052,51692,2,"Hlf","NM_001403991.1",18297
"143","NC_000077.7",90370135,90370488,354,"*","CBD2vsMODEL2_cond1_143",7.20679,"3' UTR",11,90354209,90363709,9501,2,"Gm34850","XR_880134.2",-6426
"144","NC_000077.7",95603740,95604056,317,"*","CBD2vsMODEL2_cond1_144",7.11533,"Promoter (<=1kb)",11,95590932,95603580,12649,2,"Zfp652os","NR_045780.1",-160
"145","NC_000077.7",106051994,106052325,332,"*","CBD2vsMODEL2_cond1_145",6.40246,"Promoter (<=1kb)",11,106047080,106051555,4476,2,"Limd2","NM_001356458.1",-439
"146","NC_000077.7",108902467,108902950,484,"*","CBD2vsMODEL2_cond1_146",60.0084,"Intron (XR_389100.4/Gm36876, intron 3 of 3)",11,108871565,108925609,54045,1,"Gm36876","XR_389100.4",30902
"147","NC_000077.7",109030476,109030882,407,"*","CBD2vsMODEL2_cond1_147",5.59477,"Exon (NR_037978.1/E030025P04Rik, exon 2 of 3)",11,109030117,109035195,5079,2,"E030025P04Rik","NR_037978.1",4313
"148","NC_000077.7",117423010,117423300,291,"*","CBD2vsMODEL2_cond1_148",9.0164,"Exon (NR_167774.1/Gm11734, exon 5 of 7)",11,117414359,117425248,10890,1,"Gm11734","NR_167773.1",8651
"149","NC_000078.7",8407411,8407744,334,"*","CBD2vsMODEL2_cond1_149",4.58794,"Distal Intergenic",12,8413938,8415974,2037,1,"Gm33134","XR_381235.4",-6194
"150","NC_000078.7",8493946,8494400,455,"*","CBD2vsMODEL2_cond1_150",6.4092,"Distal Intergenic",12,8498960,8501424,2465,1,"Gm51967","XR_003950173.1",-4560
"151","NC_000078.7",76601069,76601410,342,"*","CBD2vsMODEL2_cond1_151",5.25133,"Intron (NM_001403197.1/Plekhg3, intron 1 of 17)",12,76593746,76594699,954,2,"AI463170","NR_046044.1",-6370
"152","NC_000078.7",78397643,78397906,264,"*","CBD2vsMODEL2_cond1_152",17.5446,"Intron (XM_006515899.4/Gphn, intron 2 of 25)",12,78273429,78731546,458118,1,"Gphn","NM_172952.3",124214
"153","NC_000078.7",79708013,79708441,429,"*","CBD2vsMODEL2_cond1_153",6.939,"Intron (XR_004937460.1/Rad51b, intron 9 of 13)",12,79836189,79842695,6507,2,"Gm36048","XR_001780639.2",134254
"154","NC_000078.7",79884816,79885096,281,"*","CBD2vsMODEL2_cond1_154",4.32853,"Intron (XR_004937460.1/Rad51b, intron 13 of 13)",12,79877883,79878641,759,2,"Gm3596","XR_381721.2",-6175
"155","NC_000078.7",80426915,80427184,270,"*","CBD2vsMODEL2_cond1_155",3.81325,"Intron (NM_001364324.1/Dcaf5, intron 5 of 8)",12,80438387,80438451,65,2,"Mir1843a","NR_037207.1",11267
"156","NC_000078.7",84116332,84116614,283,"*","CBD2vsMODEL2_cond1_156",10.0071,"Promoter (<=1kb)",12,84116240,84122798,6559,1,"Acot5","XM_011244075.4",92
"157","NC_000078.7",85579199,85579505,307,"*","CBD2vsMODEL2_cond1_157",5.57538,"Intron (NR_175334.1/Gm32296, intron 3 of 4)",12,85571433,85590269,18837,1,"Gm32296","NR_175334.1",7766
"158","NC_000078.7",85645865,85646295,431,"*","CBD2vsMODEL2_cond1_158",6.57089,"Promoter (<=1kb)",12,85646173,85686652,40480,1,"Jdp2","NM_030887.3",0
"159","NC_000078.7",111874112,111874500,389,"*","CBD2vsMODEL2_cond1_159",44.8883,"Promoter (<=1kb)",12,111794892,111874132,79241,2,"Ppp1r13b","XM_030246683.2",0
"160","NC_000078.7",118265024,118265304,281,"*","CBD2vsMODEL2_cond1_160",9.757,"Promoter (<=1kb)",12,118195421,118265175,69755,2,"Sp4","NM_001166385.2",0
"161","NC_000078.7",119992416,119992750,335,"*","CBD2vsMODEL2_cond1_161",14.4194,"Distal Intergenic",12,119909862,119984977,75116,1,"Tmem196","NM_001379146.1",82554
"162","NC_000079.7",14035280,14035582,303,"*","CBD2vsMODEL2_cond1_162",5.62182,"Distal Intergenic",13,14016846,14019404,2559,1,"Gm7441",NA,18434
"163","NC_000079.7",20656868,20657203,336,"*","CBD2vsMODEL2_cond1_163",11.4198,"Promoter (<=1kb)",13,20657160,20792523,135364,1,"Elmo1","NM_198093.3",0
"164","NC_000079.7",30843949,30844222,274,"*","CBD2vsMODEL2_cond1_164",4.70764,"Promoter (<=1kb)",13,30844042,30895215,51174,1,"Dusp22","NM_001037955.4",0
"165","NC_000079.7",43048546,43048832,287,"*","CBD2vsMODEL2_cond1_165",4.38735,"Intron (XM_011244395.4/Phactr1, intron 3 of 14)",13,43069344,43292000,222657,1,"Phactr1","XM_006516907.5",-20512
"166","NC_000079.7",45023039,45023498,460,"*","CBD2vsMODEL2_cond1_166",21.4822,"Intron (XM_036157864.1/Jarid2, intron 4 of 18)",13,44994297,45074744,80448,1,"Jarid2","XM_006516860.4",28742
"167","NC_000079.7",46118315,46118671,357,"*","CBD2vsMODEL2_cond1_167",4.55474,"Promoter (<=1kb)",13,45703231,46118467,415237,2,"Atxn1","NM_001199304.1",0
"168","NC_000079.7",54897229,54897620,392,"*","CBD2vsMODEL2_cond1_168",8.93266,"Promoter (<=1kb)",13,54884484,54897486,13003,2,"Gprin1","NM_001316710.2",0
"169","NC_000079.7",69147271,69147567,297,"*","CBD2vsMODEL2_cond1_169",3.89426,"Promoter (<=1kb)",13,68768162,69147660,379499,2,"Adcy2","NM_153534.2",93
"170","NC_000079.7",69682401,69682813,413,"*","CBD2vsMODEL2_cond1_170",9.57964,"Promoter (<=1kb)",13,69682434,69683570,1137,1,"A930018O16Rik","XM_011244606.3",0
"171","NC_000079.7",98527874,98528174,301,"*","CBD2vsMODEL2_cond1_171",7.99043,"Distal Intergenic",13,98490753,98493213,2461,1,"Foxd1","NM_008242.2",37121
"172","NC_000079.7",98612270,98612689,420,"*","CBD2vsMODEL2_cond1_172",6.66936,"Distal Intergenic",13,98625867,98626349,483,2,"Gm10320","XM_036158243.1",13660
"173","NC_000079.7",98640873,98641268,396,"*","CBD2vsMODEL2_cond1_173",4.9341,"Distal Intergenic",13,98625867,98626349,483,2,"Gm10320","XM_036158243.1",-14524
"174","NC_000079.7",99311548,99311810,263,"*","CBD2vsMODEL2_cond1_174",6.11716,"Promoter (1-2kb)",13,99305606,99313033,7428,2,"Gm41036","XR_004938240.1",1223
"175","NC_000079.7",107158694,107159011,318,"*","CBD2vsMODEL2_cond1_175",22.0344,"Promoter (<=1kb)",13,107095504,107158863,63360,2,"Kif2a","NM_001374727.1",0
"176","NC_000079.7",110416908,110417203,296,"*","CBD2vsMODEL2_cond1_176",9.33479,"Promoter (<=1kb)",13,110190721,110417259,226539,2,"Rab3c","XM_006517741.4",56
"177","NC_000079.7",111944974,111945604,631,"*","CBD2vsMODEL2_cond1_177",5.14464,"Promoter (<=1kb)",13,111882962,111945527,62566,2,"Map3k1","NM_011945.3",0
"178","NC_000080.7",8456734,8457005,272,"*","CBD2vsMODEL2_cond1_178",11.1669,"Promoter (<=1kb)",14,8358367,8456619,98253,2,"Atxn7","XM_036158598.1",-115
"179","NC_000080.7",21079203,21079474,272,"*","CBD2vsMODEL2_cond1_179",4.79966,"Exon (XM_006518922.3/Vcl, exon 20 of 22)",14,21084758,21102253,17496,2,"Ap3m1","XM_006519293.3",22779
"180","NC_000080.7",33402632,33403118,487,"*","CBD2vsMODEL2_cond1_180",4.91899,"Distal Intergenic",14,33366452,33366558,107,1,"Gm26228","XR_004938759.1",36180
"181","NC_000080.7",46229570,46229884,315,"*","CBD2vsMODEL2_cond1_181",3.66037,"Distal Intergenic",14,46162975,46163723,749,1,"Gm46475",NA,66595
"182","NC_000080.7",79718746,79719024,279,"*","CBD2vsMODEL2_cond1_182",3.46361,"Promoter (<=1kb)",14,79718993,79811082,92090,1,"Elf1","XM_030247642.2",0
"183","NC_000080.7",122926781,122927226,446,"*","CBD2vsMODEL2_cond1_183",10.0535,"Intron (XM_006518432.4/Pcca, intron 14 of 23)",14,122867897,122871450,3554,1,"Gm46487","XM_017316344.1",58884
"184","NC_000080.7",125038972,125039654,683,"*","CBD2vsMODEL2_cond1_184",51.2171,"Distal Intergenic",14,124359329,124915098,555770,2,"Fgf14","XM_006518549.5",-123874
"185","NC_000081.7",7318684,7318964,281,"*","CBD2vsMODEL2_cond1_185",4.04619,"Intron (NM_001289496.2/Egflam, intron 6 of 22)",15,7236129,7333505,97377,2,"Egflam","XM_036159432.1",14541
"186","NC_000081.7",31540518,31540796,279,"*","CBD2vsMODEL2_cond1_186",3.47986,"Distal Intergenic",15,31456045,31531172,75128,2,"Marchf6","NM_172606.3",-9346
"187","NC_000081.7",80043641,80043975,335,"*","CBD2vsMODEL2_cond1_187",3.66437,"Intron (XM_006521259.4/Tab1, intron 10 of 10)",15,80013600,80032460,18861,2,"Gm31253","XR_004939013.1",-11181
"188","NC_000081.7",85608593,85609188,596,"*","CBD2vsMODEL2_cond1_188",6.32177,"Promoter (<=1kb)",15,85608051,85611747,3697,1,"Gm46529","XR_001781735.2",542
"189","NC_000081.7",87508576,87508893,318,"*","CBD2vsMODEL2_cond1_189",7.87415,"Promoter (<=1kb)",15,87509431,87643565,134135,1,"Tafa5","NM_134096.2",-538
"190","NC_000081.7",101032211,101032491,281,"*","CBD2vsMODEL2_cond1_190",5.69932,"5' UTR",15,101026403,101043217,16815,1,"Acvrl1","NM_009612.3",5808
"191","NC_000082.7",10961796,10962166,371,"*","CBD2vsMODEL2_cond1_191",14.9001,"Intron (NM_145931.3/Zc3h7a, intron 19 of 22)",16,10892775,10952541,59767,2,"Txndc11","XM_036159724.1",-9255
"192","NC_000082.7",18523113,18523400,288,"*","CBD2vsMODEL2_cond1_192",6.17836,"Promoter (<=1kb)",16,18524158,18537890,13733,1,"Gm41429","XR_004939308.1",-758
"193","NC_000082.7",18539287,18539579,293,"*","CBD2vsMODEL2_cond1_193",8.13597,"Distal Intergenic",16,18550523,18553070,2548,1,"Gm41428","XR_875943.3",-10944
"194","NC_000082.7",28057038,28057329,292,"*","CBD2vsMODEL2_cond1_194",7.71078,"Promoter (<=1kb)",16,28056910,28065420,8511,1,"Gm52250","XR_003951925.1",128
"195","NC_000082.7",29580648,29581048,401,"*","CBD2vsMODEL2_cond1_195",5.37623,"Distal Intergenic",16,29629835,29686800,56966,1,"Gm32740","XR_004939326.1",-48787
"196","NC_000082.7",30371902,30372167,266,"*","CBD2vsMODEL2_cond1_196",4.98409,"Promoter (2-3kb)",16,30337157,30369643,32487,2,"Tmem44","XM_036159893.1",-2259
"197","NC_000082.7",30587835,30588351,517,"*","CBD2vsMODEL2_cond1_197",5.93199,"Distal Intergenic",16,30608169,30612073,3905,2,"Gm49754","XR_004939334.1",23722
"198","NC_000082.7",33201443,33201833,391,"*","CBD2vsMODEL2_cond1_198",9.83167,"Promoter (<=1kb)",16,33201478,33322414,120937,1,"Zfp148","XM_036159911.1",0
"199","NC_000082.7",33711586,33712169,584,"*","CBD2vsMODEL2_cond1_199",5.05288,"Promoter (<=1kb)",16,33712341,33769708,57368,1,"Itgb5","NM_001405063.1",-172
"200","NC_000082.7",57211478,57212062,585,"*","CBD2vsMODEL2_cond1_200",58.9792,"Intron (NM_001040397.4/Filip1l, intron 1 of 4)",16,57173640,57393167,219528,1,"Filip1l","NM_001040397.4",37838
"201","NC_000082.7",67417519,67417792,274,"*","CBD2vsMODEL2_cond1_201",8.13718,"Promoter (<=1kb)",16,66452302,67417796,965495,2,"Cadm2","NM_001347247.1",4
"202","NC_000082.7",97652529,97653042,514,"*","CBD2vsMODEL2_cond1_202",7.9238,"Promoter (<=1kb)",16,97592720,97653035,60316,2,"Prdm15","NM_001359077.2",0
"203","NC_000082.7",97908698,97908961,264,"*","CBD2vsMODEL2_cond1_203",20.3829,"Distal Intergenic",16,97863712,97883639,19928,2,"A630089N07Rik","NR_015491.1",-25059
"204","NC_000083.7",3647267,3647649,383,"*","CBD2vsMODEL2_cond1_204",5.92993,"Distal Intergenic",17,3613278,3627600,14323,1,"Gm34155","XR_876341.1",33989
"205","NC_000083.7",29020090,29020449,360,"*","CBD2vsMODEL2_cond1_205",7.40314,"Promoter (<=1kb)",17,29020100,29036599,16500,1,"Brpf3","XM_006524334.4",0
"206","NC_000083.7",29456781,29457471,691,"*","CBD2vsMODEL2_cond1_206",5.17357,"Promoter (<=1kb)",17,29375495,29456764,81270,2,"Cpne5","NM_153166.2",-17
"207","NC_000083.7",31783927,31784353,427,"*","CBD2vsMODEL2_cond1_207",7.38942,"Promoter (<=1kb)",17,31783739,31826659,42921,1,"Pknox1","NM_016670.4",188
"208","NC_000083.7",32074469,32074762,294,"*","CBD2vsMODEL2_cond1_208",4.84277,"Promoter (<=1kb)",17,32063222,32074778,11557,2,"Sik1","NM_010831.3",16
"209","NC_000083.7",32131704,32132030,327,"*","CBD2vsMODEL2_cond1_209",4.67607,"Promoter (<=1kb)",17,32131541,32132777,1237,1,"Gm30571","XR_385538.4",163
"210","NC_000083.7",34783609,34783906,298,"*","CBD2vsMODEL2_cond1_210",5.6301,"Promoter (<=1kb)",17,34783269,34807517,24249,1,"Notch4","NM_010929.2",340
"211","NC_000083.7",40153924,40159689,5766,"*","CBD2vsMODEL2_cond1_211",81.8304,"Promoter (<=1kb)",17,40153888,40159679,5792,1,"Gm26917","NR_170994.1",36
"212","NC_000083.7",56525594,56525980,387,"*","CBD2vsMODEL2_cond1_212",4.42434,"Promoter (<=1kb)",17,56493674,56525699,32026,2,"Dpp9","XM_006524155.5",0
"213","NC_000083.7",74601844,74602485,642,"*","CBD2vsMODEL2_cond1_213",5.71476,"Promoter (<=1kb)",17,74507695,74601858,94164,2,"Memo1","NM_133771.2",0
"214","NC_000083.7",84181004,84181499,496,"*","CBD2vsMODEL2_cond1_214",8.01852,"Promoter (<=1kb)",17,84171043,84181656,10614,2,"Gm35125","XR_004939612.1",157
"215","NC_000083.7",84355928,84356306,379,"*","CBD2vsMODEL2_cond1_215",4.89007,"Intron (XR_385838.4/Gm35551, intron 1 of 5)",17,84327214,84352014,24801,2,"Gm35551","XR_877048.2",-3914
"216","NC_000083.7",88372304,88372599,296,"*","CBD2vsMODEL2_cond1_216",6.18626,"Promoter (<=1kb)",17,88298287,88372315,74029,2,"Fbxo11","NM_001379305.1",0
"217","NC_000084.7",4514027,4514661,635,"*","CBD2vsMODEL2_cond1_217",6.74199,"Distal Intergenic",18,4541612,4553578,11967,2,"Gm41658","XR_877155.1",38917
"218","NC_000084.7",58011321,58011833,513,"*","CBD2vsMODEL2_cond1_218",6.29436,"Promoter (<=1kb)",18,58011505,58079893,68389,1,"Slc12a2","XM_006525732.4",0
"219","NC_000084.7",60704898,60705167,270,"*","CBD2vsMODEL2_cond1_219",6.827,"3' UTR",18,60693858,60705801,11944,1,"Rbm22","NM_025776.2",11040
"220","NC_000084.7",75575052,75575460,409,"*","CBD2vsMODEL2_cond1_220",6.88325,"Intron (XM_036161162.1/Ctif, intron 10 of 11)",18,75598000,75625592,27593,1,"Gm52357","XR_003952654.2",-22540
"221","NC_000084.7",77153145,77153498,354,"*","CBD2vsMODEL2_cond1_221",7.07651,"Promoter (<=1kb)",18,77153154,77241220,88067,1,"Pias2","XM_036161023.1",0
"222","NC_000084.7",77404380,77404807,428,"*","CBD2vsMODEL2_cond1_222",5.31913,"Intron (NM_001414399.1/Loxhd1, intron 4 of 40)",18,77369354,77530628,161275,1,"Loxhd1","NM_172834.3",35026
"223","NC_000084.7",90620328,90620748,421,"*","CBD2vsMODEL2_cond1_223",22.12,"Distal Intergenic",18,90597949,90611848,13900,1,"Gm45871","NM_001362365.1",22379
"224","NC_000085.7",3731463,3731741,279,"*","CBD2vsMODEL2_cond1_224",5.91828,"Intron (NM_008513.3/Lrp5, intron 1 of 22)",19,3634825,3736564,101740,2,"Lrp5","NM_008513.3",4823
"225","NC_000085.7",5051461,5051763,303,"*","CBD2vsMODEL2_cond1_225",3.85051,"Promoter (<=1kb)",19,5034381,5051921,17541,2,"Npas4","XM_030250872.2",158
"226","NC_000085.7",29228799,29229463,665,"*","CBD2vsMODEL2_cond1_226",12.778,"Promoter (<=1kb)",19,29229006,29271272,42267,1,"Jak2","XM_006526715.5",0
"227","NC_000085.7",53040408,53040782,375,"*","CBD2vsMODEL2_cond1_227",4.27666,"Intron (XR_386779.2/Gm30234, intron 2 of 2)",19,53039147,53053120,13974,2,"Gm30234","XR_386779.2",12338
"228","NC_000085.7",53267321,53267618,298,"*","CBD2vsMODEL2_cond1_228",5.89666,"Distal Intergenic",19,53254034,53255295,1262,1,"Gm36339",NA,13287
"229","NC_000086.8",10315853,10316118,266,"*","CBD2vsMODEL2_cond1_229",7.18077,"Exon (XR_004940439.1/Gm54081, exon 4 of 4)",20,10314996,10325848,10853,2,"Gm54081","XR_004940439.1",9730
"230","NC_000086.8",10858992,10859393,402,"*","CBD2vsMODEL2_cond1_230",4.68726,"Promoter (<=1kb)",20,10855382,10858196,2815,2,"Gm39494","XR_878055.1",-796
"231","NC_000086.8",53912342,53912926,585,"*","CBD2vsMODEL2_cond1_231",21.2112,"Distal Intergenic",20,53812839,53829755,16917,1,"Gm14590","NM_001359710.1",99503
"232","NC_000086.8",169203479,169203794,316,"*","CBD2vsMODEL2_cond1_232",9.53948,"Distal Intergenic",20,169106379,169111787,5409,1,"Asmt","NM_001308488.2",97100
"233","NC_000087.8",90752306,90753186,881,"*","CBD2vsMODEL2_cond1_233",7.66079,"Promoter (<=1kb)",21,90753998,90756352,2355,1,"Gm52481","XM_030251621.1",-812
"234","NC_000087.8",90753674,90755776,2103,"*","CBD2vsMODEL2_cond1_234",9.91551,"Promoter (<=1kb)",21,90753998,90756352,2355,1,"Gm52481","XM_030251621.1",0
"235","NC_000087.8",90818166,90818431,266,"*","CBD2vsMODEL2_cond1_235",4.92406,"Exon (XR_001782921.2/Gm33272, exon 3 of 3)",21,90814282,90820875,6594,1,"Gm33272","XR_004940601.1",3884
"236","NC_005089.1",2373,2750,378,"*","CBD2vsMODEL2_cond1_236",27.6684,"Promoter (<=1kb)",22,2676,2750,75,1,"TrnL1",NA,0
"237","NC_005089.1",3152,3489,338,"*","CBD2vsMODEL2_cond1_237",45.8643,"Promoter (<=1kb)",22,3706,3774,69,1,"TrnI",NA,-217
"238","NC_005089.1",5850,6722,873,"*","CBD2vsMODEL2_cond1_238",48.1288,"Promoter (<=1kb)",22,6870,6938,69,2,"TrnS1",NA,216
"239","NW_023337853.1",10,1246,1237,"*","CBD2vsMODEL2_cond1_239",32.7336,"Distal Intergenic",45,12961,27820,14860,2,"LOC118568479","XR_004940613.1",26574
"240","NW_023337853.1",30475,31126,652,"*","CBD2vsMODEL2_cond1_240",15.5229,"Promoter (2-3kb)",45,12961,27820,14860,2,"LOC118568479","XR_004940613.1",-2655
